locality,decimalLatitude,decimalLongitude
BICA,44.82967906177008,-108.1947468
BICA,44.82953613069946,-108.1947916
BICA,44.82953613069946,-108.1947916
BICA,44.82953613069946,-108.1947916
BICA,44.829382655151065,-108.1947738
BICA,44.82941986329683,-108.1948226
BICA,44.82945365477188,-108.1947324
BICA,44.831272080677344,-108.1943658
BICA,44.83122557022162,-108.1943048
BICA,44.83091611470745,-108.1938011
BICA,44.830683539617816,-108.1931293
BICA,44.83044201452191,-108.1931916
BICA,44.882792064773014,-108.2083469
BICA,44.88268509552215,-108.2083901
BICA,44.88220017585266,-108.2084389
BICA,44.88194965,-108.2085016
BICA,44.881443945448744,-108.2088047
BICA,44.87948149438323,-108.2110141
BICA,44.879475030138174,-108.2103813
